MAIN:O30, SUB:O  30
hh:mm:ss:ms, Sampling Interval, Block No, G-code, G80, M-code, Start, mode, x, y, z, a, b, c, spindle load, command RPM, command Feedrate, actual RPM, actual Feedrate, actLoad, Ref_upper, Ref_lower, PLCFOV, cmdFOV, cmdSOV, userASCOn, userAFCon, AdaptiveOn, TWon, C1, C2, C3, C4, A1, A1h, A1 chatter, A2, A2H, A2 chatter
14:47:39:169, 0, 0, 1, 0, 5, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 0,4000,1000,0,0, 0.2094, 0.0000, 0.0000,135, 100, 100,0, 0, 0, 1, 0.2094, 0.1953, 50.7252, 50.6971, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
14:47:39:229, 60, 0, 1, 0, 5, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 0,4000,1000,0,0, 0.2094, 0.0000, 0.0000,135, 100, 100,0, 0, 0, 1, 0.2094, 0.1953, 50.7252, 50.6971, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
14:47:39:349, 120, 0, 1, 0, 5, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 0,4000,1000,0,0, 0.2094, 0.0000, 0.0000,135, 100, 100,0, 0, 1, 1, 0.2094, 0.1953, 50.7267, 50.6971, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
14:47:39:469, 120, 0, 1, 0, 5, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 0,4000,1000,0,0, 0.2094, 0.0000, 0.0000,135, 100, 100,0, 0, 1, 1, 0.2078, 0.1937, 50.7267, 50.6971, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
14:47:39:589, 120, 0, 1, 0, 5, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 0,4000,1000,0,0, 0.2094, 0.0000, 0.0000,135, 100, 100,0, 0, 1, 1, 0.2078, 0.1937, 50.7252, 50.6971, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
14:47:39:709, 120, 0, 1, 0, 5, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 0,4000,1000,0,0, 0.2094, 0.0000, 0.0000,135, 100, 100,0, 0, 1, 1, 0.2062, 0.1937, 50.7252, 50.6971, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
14:47:39:849, 140, 0, 1, 0, 5, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 0,4000,1000,0,0, 0.2094, 0.0000, 0.0000,135, 100, 100,0, 0, 1, 1, 0.2062, 0.1922, 50.7252, 50.6971, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
14:47:39:969, 120, 0, 1, 0, 5, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 0,4000,1000,0,0, 0.2094, 0.0000, 0.0000,135, 100, 100,0, 0, 1, 1, 0.2062, 0.1937, 50.7252, 50.6955, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
14:47:40: 89, 120, 0, 1, 0, 5, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 0,4000,1000,0,0, 0.2094, 0.0000, 0.0000,135, 100, 100,0, 0, 1, 1, 0.2062, 0.1937, 50.7252, 50.6971, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
14:47:40:209, 120, 0, 1, 0, 5, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 0,4000,1000,0,0, 0.2094, 0.0000, 0.0000,135, 100, 100,0, 0, 1, 1, 0.2062, 0.1937, 50.7252, 50.6971, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
14:47:40:349, 140, 0, 1, 0, 5, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 0,4000,1000,0,0, 0.2094, 0.0000, 0.0000,135, 100, 100,0, 0, 1, 1, 0.2078, 0.1937, 50.7236, 50.6971, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
14:47:40:469, 120, 0, 1, 0, 5, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 0,4000,1000,0,0, 0.2094, 0.0000, 0.0000,135, 100, 100,0, 0, 1, 1, 0.2078, 0.1937, 50.7252, 50.6971, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
14:47:40:589, 120, 0, 1, 0, 5, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 0,4000,1000,0,0, 0.2094, 0.0000, 0.0000,135, 100, 100,0, 0, 1, 1, 0.2094, 0.1922, 50.7252, 50.6971, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
14:47:40:709, 120, 0, 1, 0, 5, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 0,4000,1000,0,0, 0.2094, 0.0000, 0.0000,135, 100, 100,0, 0, 1, 1, 0.2094, 0.1922, 50.7252, 50.6971, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
14:47:40:829, 120, 0, 1, 0, 5, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 0,4000,1000,0,0, 0.2094, 0.0000, 0.0000,135, 100, 100,0, 0, 1, 1, 0.2094, 0.1922, 50.7252, 50.6971, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
14:47:40:949, 120, 0, 1, 0, 5, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 0,4000,1000,0,0, 0.2094, 0.0000, 0.0000,135, 100, 100,0, 0, 0, 1, 0.2094, 0.1906, 50.7252, 50.6971, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
14:47:41: 69, 120, 0, 1, 0, 5, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 0,4000,1000,0,0, 0.2094, 0.0000, 0.0000,135, 100, 100,0, 0, 0, 1, 0.2094, 0.1906, 50.7252, 50.6971, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
14:47:41:189, 120, 0, 1, 0, 5, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 0,4000,1000,0,0, 0.2094, 0.0000, 0.0000,135, 100, 100,0, 0, 0, 1, 0.2094, 0.1906, 50.7252, 50.6986, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
14:47:41:309, 120, 0, 1, 0, 5, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 0,4000,1000,0,0, 0.2094, 0.0000, 0.0000,135, 100, 100,0, 0, 0, 1, 0.2094, 0.1922, 50.7267, 50.6971, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
14:47:41:429, 120, 0, 1, 0, 5, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 0,4000,1000,0,0, 0.2094, 0.0000, 0.0000,135, 100, 100,0, 0, 0, 1, 0.2094, 0.1922, 50.7252, 50.6986, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
14:47:41:550, 121, 0, 1, 0, 5, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 0,4000,1000,0,0, 0.2094, 0.0000, 0.0000,135, 100, 100,0, 0, 0, 1, 0.2094, 0.1922, 50.7267, 50.6986, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
14:47:41:670, 120, 0, 1, 0, 5, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 0,4000,1000,0,0, 0.2094, 0.0000, 0.0000,135, 100, 100,0, 0, 0, 1, 0.2109, 0.1937, 50.7252, 50.7002, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
14:47:41:790, 120, 0, 1, 0, 5, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 0,4000,1000,0,0, 0.2094, 0.0000, 0.0000,135, 100, 100,0, 0, 0, 1, 0.2125, 0.1937, 50.7267, 50.7002, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
14:47:41:910, 120, 0, 1, 0, 3, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 0,4000,1000,0,0, 0.2094, 0.0000, 0.0000,135, 100, 100,0, 0, 0, 1, 4.9841, 15.0741, 50.7330, 50.6939, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
14:47:42: 30, 120, 70, 1, 0, 3, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 145,4000,1000,1335,0, 0.2094, 0.0000, 0.0000,135, 100, 100,0, 0, 0, 1, 98.6271, 101.3676, 50.7377, 50.6908, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
14:47:42:150, 120, 70, 1, 0, 8, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 145,4000,4000,1335,0, 0.2094, 0.0000, 0.0000,135, 100, 100,0, 0, 0, 1, 101.3676, 101.3676, 50.7361, 50.6924, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
14:47:42:270, 120, 70, 1, 0, 8, 0, 1, -0.0200,0.0000,100.0000, 0.000, 0.000, 0.000, 194,4000,4000,3532,22, 101.3676, 4.2700, 4.2700,135, 100, 100,0, 0, 0, 1, 101.3676, 101.3676, 50.7346, 50.6939, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
14:47:42:390, 120, 70, 1, 0, 8, 0, 1, -0.0200,0.0000,100.0000, 0.000, 0.000, 0.000, 194,4000,4000,3532,22, 65.1056, 4.2700, 4.2700,135, 100, 100,0, 0, 0, 1, 65.1056, 65.3197, 50.7408, 50.6908, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
14:47:42:510, 120, 70, 1, 0, 8, 0, 1, -12.0270,0.0000,100.0000, 0.000, 0.000, 0.000, 39,4000,4000,4002,4369, 33.8808, 4.2700, 4.2700,135, 100, 100,0, 0, 0, 1, 33.8808, 34.0215, 50.7392, 50.6924, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
14:47:42:630, 120, 70, 1, 0, 8, 0, 1, -12.0270,0.0000,100.0000, 0.000, 0.000, 0.000, 39,4000,4000,4002,4369, 12.1024, 4.2013, 4.2013,135, 100, 100,0, 0, 0, 1, 12.1024, 12.1571, 50.7408, 50.6924, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
14:47:42:750, 120, 71, 1, 0, 8, 0, 1, -27.7510,0.0000,100.0000, 0.000, 0.000, 0.000, 6,4000,4000,4000,3735, 7.2136, 4.2013, 4.2013,135, 100, 100,0, 0, 0, 1, 7.2136, 7.1949, 50.7392, 50.6939, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
14:47:42:870, 120, 71, 1, 0, 8, 0, 1, -27.7510,0.0000,100.0000, 0.000, 0.000, 0.000, 6,4000,4000,4000,3735, 6.3746, 4.2013, 4.2013,135, 100, 100,0, 0, 0, 1, 6.3746, 6.3106, 50.7408, 50.6939, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
14:47:42:990, 120, 72, 1, 0, 8, 0, 1, -30.0000,-2.7870,100.0000, 0.000, 0.000, 0.000, 1,4000,4000,4000,1882, 5.4950, 4.2013, 4.2013,135, 100, 100,0, 0, 0, 1, 5.4950, 5.3778, 50.7408, 50.6939, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
14:47:43:110, 120, 72, 1, 0, 8, 0, 1, -30.0000,-2.7870,100.0000, 0.000, 0.000, 0.000, 1,4000,4000,4000,1882, 5.0388, 4.2013, 4.2013,135, 100, 100,0, 0, 0, 1, 5.0388, 4.9075, 50.7408, 50.6939, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
