MAIN:O30, SUB:O  30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hh:mm:ss:ms, Sampling Interval, Block No, G-code, G80, M-code, Start, mode, x, y, z, a, b, c, spindle load, command RPM, command Feedrate, actual RPM, actual Feedrate, actLoad, Ref_upper, Ref_lower, PLCFOV, cmdFOV, cmdSOV, userASCOn, userAFCon, AdaptiveOn, TWon, C1, C2, C3, C4, A1, A1h, A1 chatter, A2, A2H, A2 chatter
13:44:12:341,0,0,1,0,5,0,1,0,0,100,0,0,0,0,4000,1000,0,0,0.2109,0,0,135,100,100,0,0,0,1,0.2109,0.1969,50.7299,50.6986,0,0,0,0,0,0
13:44:12:401,60,0,1,0,5,0,1,0,0,100,0,0,0,0,4000,1000,0,0,0.2109,0,0,135,100,100,0,0,0,1,0.2109,0.1953,50.7314,50.6986,0,0,0,0,0,0
13:44:12:521,120,0,1,0,5,0,1,0,0,100,0,0,0,0,4000,1000,0,0,0.2109,0,0,135,100,100,0,0,1,1,0.2109,0.1953,50.7299,50.7002,0,0,0,0,0,0
13:44:12:641,120,0,1,0,5,0,1,0,0,100,0,0,0,0,4000,1000,0,0,0.2109,0,0,135,100,100,0,0,1,1,0.2094,0.1953,50.7299,50.7002,0,0,0,0,0,0
13:44:12:761,120,0,1,0,5,0,1,0,0,100,0,0,0,0,4000,1000,0,0,0.2109,0,0,135,100,100,0,0,1,1,0.2094,0.1969,50.7299,50.6986,0,0,0,0,0,0
13:44:12:881,120,0,1,0,5,0,1,0,0,100,0,0,0,0,4000,1000,0,0,0.2109,0,0,135,100,100,0,0,1,1,0.2078,0.1984,50.7314,50.6986,0,0,0,0,0,0
13:44:13:  1,120,0,1,0,5,0,1,0,0,100,0,0,0,0,4000,1000,0,0,0.2109,0,0,135,100,100,0,0,1,1,0.2078,0.1984,50.7299,50.7002,0,0,0,0,0,0
13:44:13:121,120,0,1,0,5,0,1,0,0,100,0,0,0,0,4000,1000,0,0,0.2109,0,0,135,100,100,0,0,1,1,0.2078,0.1984,50.7299,50.6986,0,0,0,0,0,0
13:44:13:241,120,0,1,0,5,0,1,0,0,100,0,0,0,0,4000,1000,0,0,0.2109,0,0,135,100,100,0,0,1,1,0.2078,0.1984,50.7314,50.6986,0,0,0,0,0,0
13:44:13:361,120,0,1,0,5,0,1,0,0,100,0,0,0,0,4000,1000,0,0,0.2109,0,0,135,100,100,0,0,1,1,0.2078,0.1984,50.7299,50.7002,0,0,0,0,0,0
13:44:13:481,120,0,1,0,5,0,1,0,0,100,0,0,0,0,4000,1000,0,0,0.2109,0,0,135,100,100,0,0,1,1,0.2078,0.1984,50.7314,50.6986,0,0,0,0,0,0
13:44:13:601,120,0,1,0,5,0,1,0,0,100,0,0,0,0,4000,1000,0,0,0.2109,0,0,135,100,100,0,0,1,1,0.2094,0.1969,50.7299,50.7017,0,0,0,0,0,0
13:44:13:721,120,0,1,0,5,0,1,0,0,100,0,0,0,0,4000,1000,0,0,0.2109,0,0,135,100,100,0,0,1,1,0.2094,0.1969,50.7299,50.7002,0,0,0,0,0,0
13:44:13:841,120,0,1,0,5,0,1,0,0,100,0,0,0,0,4000,1000,0,0,0.2109,0,0,135,100,100,0,0,1,1,0.2062,0.1953,50.7299,50.7002,0,0,0,0,0,0
13:44:13:961,120,0,1,0,5,0,1,0,0,100,0,0,0,0,4000,1000,0,0,0.2109,0,0,135,100,100,0,0,1,1,0.2062,0.1953,50.7299,50.6986,0,0,0,0,0,0
13:44:14: 81,120,0,1,0,5,0,1,0,0,100,0,0,0,0,4000,1000,0,0,0.2109,0,0,135,100,100,0,0,1,1,0.2062,0.1937,50.7299,50.7002,0,0,0,0,0,0
13:44:14:201,120,0,1,0,5,0,1,0,0,100,0,0,0,0,4000,1000,0,0,0.2109,0,0,135,100,100,0,0,0,1,0.2062,0.1953,50.7314,50.7002,0,0,0,0,0,0
