MAIN:O30, SUB:O  30
hh:mm:ss:ms, Sampling Interval, Block No, G-code, G80, M-code, Start, mode, x, y, z, a, b, c, spindle load, command RPM, command Feedrate, actual RPM, actual Feedrate, actLoad, Ref_upper, Ref_lower, PLCFOV, cmdFOV, cmdSOV, userASCOn, userAFCon, AdaptiveOn, TWon, C1, C2, C3, C4, A1, A1h, A1 chatter, A2, A2H, A2 chatter
13:58: 5:100, 0, 0, 1, 0, 5, 0, 1, 0.0000,0.0000,99.0000, 0.000, 0.000, 0.000, 0,4000,1000,0,0, 0.2062, 0.0000, 0.0000,135, 100, 100,0, 0, 0, 1, 0.2062, 0.1937, 50.7299, 50.7033, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
13:58: 5:160, 60, 0, 1, 0, 5, 0, 1, 0.0000,0.0000,99.0000, 0.000, 0.000, 0.000, 0,4000,1000,0,0, 0.2062, 0.0000, 0.0000,135, 100, 100,0, 0, 0, 1, 0.2047, 0.1953, 50.7299, 50.7017, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
13:58: 5:280, 120, 0, 1, 0, 5, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 0,4000,1000,0,0, 0.2062, 0.0000, 0.0000,135, 100, 100,0, 0, 0, 1, 0.2047, 0.1937, 50.7283, 50.7017, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
13:58: 5:400, 120, 0, 1, 0, 5, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 0,4000,1000,0,0, 0.2062, 0.0000, 0.0000,135, 100, 100,0, 0, 1, 1, 0.2047, 0.1937, 50.7299, 50.7002, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
13:58: 5:520, 120, 0, 1, 0, 5, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 0,4000,1000,0,0, 0.2062, 0.0000, 0.0000,135, 100, 100,0, 0, 1, 1, 0.2047, 0.1937, 50.7283, 50.7033, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
13:58: 5:640, 120, 0, 1, 0, 5, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 0,4000,1000,0,0, 0.2062, 0.0000, 0.0000,135, 100, 100,0, 0, 1, 1, 0.2031, 0.1953, 50.7283, 50.7017, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
13:58: 5:760, 120, 0, 1, 0, 5, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 0,4000,1000,0,0, 0.2062, 0.0000, 0.0000,135, 100, 100,0, 0, 1, 1, 0.2031, 0.1937, 50.7283, 50.7017, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
13:58: 5:880, 120, 0, 1, 0, 5, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 0,4000,1000,0,0, 0.2062, 0.0000, 0.0000,135, 100, 100,0, 0, 1, 1, 0.2047, 0.1953, 50.7283, 50.7017, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
13:58: 6:  0, 120, 0, 1, 0, 5, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 0,4000,1000,0,0, 0.2062, 0.0000, 0.0000,135, 100, 100,0, 0, 1, 1, 0.2062, 0.1969, 50.7283, 50.7017, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
13:58: 6:120, 120, 0, 1, 0, 5, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 0,4000,1000,0,0, 0.2062, 0.0000, 0.0000,135, 100, 100,0, 0, 1, 1, 0.2047, 0.1969, 50.7299, 50.7002, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
13:58: 6:240, 120, 0, 1, 0, 5, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 0,4000,1000,0,0, 0.2062, 0.0000, 0.0000,135, 100, 100,0, 0, 1, 1, 0.2062, 0.1953, 50.7283, 50.7017, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
13:58: 6:360, 120, 0, 1, 0, 5, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 0,4000,1000,0,0, 0.2062, 0.0000, 0.0000,135, 100, 100,0, 0, 1, 1, 0.2078, 0.1937, 50.7299, 50.7002, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
13:58: 6:480, 120, 0, 1, 0, 5, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 0,4000,1000,0,0, 0.2062, 0.0000, 0.0000,135, 100, 100,0, 0, 1, 1, 0.2078, 0.1937, 50.7283, 50.7002, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
13:58: 6:600, 120, 0, 1, 0, 5, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 0,4000,1000,0,0, 0.2062, 0.0000, 0.0000,135, 100, 100,0, 0, 1, 1, 0.2078, 0.1953, 50.7299, 50.7002, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
