MAIN:O30, SUB:O  30
hh:mm:ss:ms, Sampling Interval, Block No, G-code, G80, M-code, Start, mode, x, y, z, a, b, c, spindle load, command RPM, command Feedrate, actual RPM, actual Feedrate, actLoad, Ref_upper, Ref_lower, PLCFOV, cmdFOV, cmdSOV, userASCOn, userAFCon, AdaptiveOn, TWon, C1, C2, C3, C4, A1, A1h, A1 chatter, A2, A2H, A2 chatter
14:25:30:236, 0, 0, 1, 0, 5, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 0,4000,1000,0,0, 0.2062, 0.0000, 0.0000,135, 100, 100,0, 0, 0, 1, 0.2062, 0.1937, 50.7330, 50.6924, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
14:25:30:296, 60, 0, 1, 0, 5, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 0,4000,1000,0,0, 0.2062, 0.0000, 0.0000,135, 100, 100,0, 0, 0, 1, 0.2062, 0.1937, 50.7330, 50.6924, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
14:25:30:416, 120, 0, 1, 0, 5, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 0,4000,1000,0,0, 0.2062, 0.0000, 0.0000,135, 100, 100,0, 0, 1, 1, 0.2062, 0.1937, 50.7330, 50.6924, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
14:25:30:536, 120, 0, 1, 0, 5, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 0,4000,1000,0,0, 0.2062, 0.0000, 0.0000,135, 100, 100,0, 0, 1, 1, 0.2078, 0.1937, 50.7330, 50.6908, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
14:25:30:656, 120, 0, 1, 0, 5, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 0,4000,1000,0,0, 0.2062, 0.0000, 0.0000,135, 100, 100,0, 0, 1, 1, 0.2078, 0.1937, 50.7330, 50.6924, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
14:25:30:776, 120, 0, 1, 0, 5, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 0,4000,1000,0,0, 0.2062, 0.0000, 0.0000,135, 100, 100,0, 0, 1, 1, 0.2094, 0.1953, 50.7330, 50.6924, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
14:25:30:896, 120, 0, 1, 0, 5, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 0,4000,1000,0,0, 0.2062, 0.0000, 0.0000,135, 100, 100,0, 0, 1, 1, 0.2109, 0.1937, 50.7330, 50.6924, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
14:25:31: 16, 120, 0, 1, 0, 5, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 0,4000,1000,0,0, 0.2062, 0.0000, 0.0000,135, 100, 100,0, 0, 1, 1, 0.2109, 0.1922, 50.7330, 50.6924, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
14:25:31:136, 120, 0, 1, 0, 5, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 0,4000,1000,0,0, 0.2062, 0.0000, 0.0000,135, 100, 100,0, 0, 1, 1, 0.2109, 0.1922, 50.7330, 50.6924, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
14:25:31:256, 120, 0, 1, 0, 5, 0, 1, 0.0000,0.0000,100.0000, 0.000, 0.000, 0.000, 0,4000,1000,0,0, 0.2062, 0.0000, 0.0000,135, 100, 100,0, 0, 1, 1, 0.2109, 0.1922, 50.7330, 50.6924, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000 
