                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.7946,                 7.3188,                 3.9409,                 1.5687,                0.68446,                0.11538,                0.04694,                0.04651,                0.00169,                0.33846,                0.00228,                0.00029,                 2.2384,                 12.827,                 3.9832,                 1.8048,                 0.0955,                 0.0005,                 0.0005
                      1,                   1.89,                 6.1303,                 3.9103,                 1.6125,                 0.7033,                0.11538,                0.09646,                0.09536,                0.00334,                0.55385,                0.00513,                0.00107,                 1.8088,                 8.0066,                 3.8007,                 1.6804,               0.090046,              0.0010455,              0.0010455
                      2,                 1.8223,                 3.7274,                 3.2735,                 1.5833,                0.57506,                0.38168,                0.46293,                0.17447,                0.35773,                    0.3,                0.33533,                0.12258,                 1.6852,                 2.9985,                 2.5677,                 1.5747,               0.084532,              0.0015317,              0.0015317
                      3,                 1.4802,                 2.7873,                 2.3066,                 1.3821,                0.54378,                0.59046,                 0.6068,                0.21581,                0.53396,                0.47627,                0.45073,                0.11954,                 1.5336,                 2.1323,                 2.1409,                  1.472,               0.078958,              0.0019585,              0.0019585
                      4,                 1.3433,                 2.4091,                 2.0382,                 1.2967,                0.52428,                0.71869,                0.64919,                0.32508,                0.66225,                0.39231,                0.55425,                0.16809,                 1.3805,                 2.0269,                 2.7451,                 1.3252,               0.073326,              0.0023258,              0.0023258
                      5,                 1.2892,                 2.3263,                 1.6624,                 1.2673,                   0.69,                0.59812,                0.71971,                0.37209,                0.68854,                0.55653,                0.61374,                 0.2575,                 1.3474,                 1.8087,                 2.6851,                 1.3021,               0.067634,              0.0026337,              0.0026337
                      6,                 1.2589,                 2.2597,                 1.5059,                 1.2223,                0.81394,                0.70769,                0.82193,                0.49461,                0.81394,                0.70769,                0.77732,                0.35169,                 1.3271,                 1.5748,                 1.3594,                 1.2184,               0.061882,              0.0028823,              0.0028823
                      7,                 1.2604,                 1.9867,                 1.3567,                 1.1801,                0.82578,                    0.5,                0.86172,                0.50275,                0.82738,                    0.5,                0.80132,                0.26443,                 1.2764,                 1.6106,                 1.2944,                 1.1144,               0.056071,              0.0030715,              0.0030715
                      8,                  1.192,                 1.9616,                 1.2843,                 1.1229,                0.98689,                0.42308,                0.79282,                0.44328,                0.98689,                0.42308,                0.61236,                0.24805,                  1.236,                 1.7214,                   1.35,                  1.128,               0.050201,              0.0032012,              0.0032012
                      9,                 1.1496,                 1.7602,                  1.208,                 1.1164,                0.83846,                      1,                0.98536,                0.48117,                0.46505,                0.62308,                0.48953,                0.20956,                 1.1985,                 2.2669,                0.97288,                 1.0743,               0.044272,              0.0032716,              0.0032716
                     10,                 1.0383,                 1.7608,                 1.0207,                 1.0436,                0.77218,                0.93294,                0.91283,                0.47564,                0.49775,                0.60052,                 0.4825,                0.20335,                 1.2018,                 2.0305,                0.95886,                  1.094,               0.038283,              0.0032825,              0.0032825
                     11,                 1.0838,                 1.6934,                0.99506,                 1.0663,                 0.8896,                 0.9909,                  0.995,                0.53176,                0.81115,                0.89218,                0.88833,                0.34655,                  1.119,                 1.5926,                  0.739,                 1.0525,               0.032234,              0.0032341,              0.0032341
                     12,                 1.0355,                 1.7473,                 0.9389,                 1.0372,                0.98002,                      1,                  0.995,                0.57858,                0.88272,                    0.9,                0.87565,                0.38938,                 1.1968,                 1.7732,                0.77424,                 1.0553,               0.026126,              0.0031262,              0.0031262
                     13,                 1.0051,                 1.5665,                0.86408,                 1.0371,                0.99192,                0.96154,                 0.9925,                0.58054,                0.90866,                0.86154,                0.90813,                0.36131,                 1.0961,                 1.6823,                0.78834,                0.99879,               0.019959,               0.002959,               0.002959
                     14,                 1.0037,                 1.6024,                0.82948,                 1.0094,                0.95813,                0.96154,                 0.9925,                0.59927,                0.95813,                0.96154,                 0.9925,                0.36144,                 1.0463,                  1.514,                0.64929,                0.98017,               0.013732,              0.0027323,              0.0027323
                     15,                 1.0531,                  1.626,                0.88852,                 1.0339,                0.91567,                      1,                  0.995,                0.60575,                0.91567,                      1,                  0.995,                0.38798,                 1.0629,                  1.482,                0.70575,                0.96717,              0.0074463,              0.0024463,              0.0024463
                     16,                 1.0019,                 1.5216,                0.77833,                 1.0044,                0.97999,                 0.9601,                 0.9925,                0.61163,                0.97999,                 0.9601,                 0.9925,                0.41521,                  1.104,                 1.5143,                 0.6197,                0.95968,                0.00208,                0.00208,                0.00208
                     17,                0.98942,                 1.4805,                0.78765,                0.98768,                 0.9579,                      1,                  0.995,                0.58777,                0.82655,                0.86154,                0.78607,                0.32568,                  1.158,                 1.5045,                0.64204,                0.99704,                0.00208,                0.00208,                0.00208
                     18,                0.95021,                 1.5462,                0.71099,                0.99168,                0.95963,                      1,                  0.995,                0.58982,                0.86691,                    0.9,                0.83217,                0.35555,                 1.1468,                 1.4799,                0.61427,                0.98378,               0.001585,               0.001585,               0.001585
                     19,                0.99734,                 1.5507,                0.76086,                0.99489,                0.97002,                0.99996,                  0.995,                0.57802,                0.97002,                0.99996,                  0.995,                0.36265,                 1.1287,                 1.4573,                0.61144,                 1.0046,                0.00109,                0.00109,                0.00109
